pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3389.671891,-9287.732974,31.460981]",2930,738,3.836657,4.575310,11.341572,208.323681,64804.089844,67533.062500,43439.019531,46181.625000,21365.080078,21331.037109,0.000000,20.391703,0.655556,0.663492,
"[-3407.164719,-8935.737781,19.868345]",1522,668,0.679005,3.315675,63.890633,168.132113,92521.429688,90238.351563,71156.343750,68875.679688,21365.080078,21347.197266,0.000000,15.479469,0.330159,0.331746,
"[-3051.868920,-9492.533846,10.818173]",3749,2089,2.320754,1.658876,314.549988,110.901382,65287.542969,61999.390625,43922.464844,40636.113281,21365.080078,21360.599609,0.000000,2.675350,0.588889,0.607937,
"[-2895.709332,-8896.526317,21.831274]",1365,2714,1.929004,4.308151,79.237328,333.284649,91129.703125,94807.664063,69764.632813,73447.093750,21365.080078,21334.894531,0.000000,25.662443,0.365079,0.371429,
"[-3254.362680,-8798.665802,20.384103]",973,1279,0.538573,1.021704,237.369202,18.545618,91910.125000,90772.015625,70545.046875,69407.171875,21365.080078,21363.380859,0.000000,1.458470,0.255556,0.290476,
"[-3384.031209,-8971.384567,19.787826]",1664,761,0.250285,0.927693,348.464386,224.100399,89261.726563,90610.382813,67896.640625,69245.531250,21365.080078,21363.679688,0.000000,1.170720,0.357143,0.357143,
"[-2862.906082,-9005.181755,19.943630]",1799,2845,4.129735,4.226751,210.869019,67.166991,77190.101563,70416.765625,55825.031250,49059.773438,21365.080078,21336.027344,0.000000,20.964897,0.533333,0.534921,
"[-3069.731079,-8942.026412,22.018531]",1547,2018,3.172696,1.214225,198.062119,188.359128,64438.800781,66739.890625,43073.722656,45375.722656,21365.080078,21362.681641,0.000000,1.485355,0.653968,0.636508,
"[-2635.163556,-8789.115154,19.531732]",935,3756,1.768176,2.872923,258.824066,264.391344,76535.500000,86246.203125,55170.417969,64884.347656,21365.080078,21351.654297,0.000000,10.212173,0.557143,0.507937,
"[-3332.895743,-8740.252155,21.676344]",740,965,1.827105,3.348609,159.121384,175.664327,83548.273438,83547.039063,62183.195313,62186.031250,21365.080078,21346.841797,0.000000,14.167886,0.438095,0.458730,
"[-2763.589792,-9347.189122,12.045907]",3167,3243,2.430792,1.593669,342.669006,283.229050,78649.906250,82213.000000,57284.820313,60848.980469,21365.080078,21360.943359,0.000000,3.077961,0.533333,0.523810,
"[-3449.906314,-9012.815548,36.940580]",1830,497,2.017595,1.997029,105.040726,52.728827,82680.156250,78694.132813,61315.074219,57330.542969,21365.080078,21358.587891,0.000000,4.989058,0.209524,0.241270,
"[-3219.779929,-8776.571521,21.185566]",885,1418,1.205789,2.238261,281.255951,294.120923,97674.101563,102581.203125,76309.039063,81216.828125,21365.080078,21356.929688,0.000000,7.447762,0.196825,0.200000,
"[-3376.644602,-9196.631897,17.391506]",2565,790,0.958829,2.262713,304.928894,341.498790,53726.980469,54582.593750,32361.896484,33221.644531,21365.080078,21356.748047,0.000000,4.200916,0.728571,0.726984,
"[-2691.536798,-9382.768650,9.882244]",3310,3531,1.026940,1.765578,237.102127,252.335431,83955.250000,88549.953125,62590.179688,67185.890625,21365.080078,21360.007813,0.000000,4.039944,0.411111,0.403175,
"[-3142.019102,-9238.500055,15.214081]",2733,1729,0.308850,2.523887,225.723953,338.994873,84346.867188,85094.406250,62981.792969,63731.609375,21365.080078,21354.716797,0.000000,8.085605,0.426984,0.438095,
"[-3265.509741,-8857.415740,20.146791]",1208,1235,3.114661,4.601360,187.240234,127.752361,87672.046875,81087.945313,66306.960938,59729.015625,21365.080078,21330.648438,0.000000,28.280380,0.387302,0.382540,
"[-2747.104229,-8987.190217,18.194475]",1727,3309,2.287708,2.568751,122.757576,110.895804,57404.914063,56125.507813,36039.832031,34765.246094,21365.080078,21354.345703,0.000000,5.917671,0.726984,0.714286,
"[-2955.977331,-8811.142177,21.838356]",1023,2473,1.806260,4.607346,228.565170,231.984013,72885.968750,80153.039063,51520.898438,58798.183594,21365.080078,21330.560547,0.000000,24.298716,0.569841,0.549206,
