pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-2622.404871,-8993.983284,15.468275]",1755,3807,0.721577,0.573691,171.881561,125.662813,1900892.000000,1910057.750000,1546189.875000,1555355.625000,354702.187500,354693.250000,0.000000,9.605526,0.415393,0.401856,
"[-2861.798091,-8771.997971,21.252748]",867,2850,0.623539,4.959898,1.290431,272.993544,1951097.375000,2040909.500000,1596394.625000,1686134.125000,354702.187500,354038.000000,0.000000,736.851746,0.321288,0.317031,
"[-2701.407991,-9180.893505,16.042951]",2502,3491,0.618106,2.883166,82.377747,330.834717,1100976.000000,1192917.000000,746274.250000,838290.500000,354702.187500,354477.625000,0.000000,149.278397,0.636572,0.615939,
"[-3138.762279,-8942.228187,21.797659]",1547,1742,2.208930,1.014667,284.200470,318.124640,1758499.500000,1796031.875000,1403797.500000,1441329.750000,354702.187500,354674.218750,0.000000,28.004030,0.472052,0.453275,
"[-2909.072376,-8935.670523,21.243463]",1521,2661,2.055812,0.919860,34.975311,178.349194,1896269.375000,1904432.500000,1541567.375000,1549730.250000,354702.187500,354679.343750,0.000000,24.636702,0.408079,0.398799,
"[-2894.970671,-8692.667059,20.352407]",549,2717,0.149188,0.599532,341.618134,105.484021,1997894.750000,1987121.000000,1643193.000000,1632417.875000,354702.187500,354692.437500,0.000000,10.938937,0.326092,0.329476,
"[-3079.568697,-8963.952548,20.561288]",1634,1979,2.176890,0.406173,309.594635,268.624826,1704586.500000,1711073.000000,1349884.625000,1356371.000000,354702.187500,354697.718750,0.000000,4.286700,0.505022,0.506223,
"[-3289.146884,-9136.973975,18.206707]",2326,1140,0.524531,1.803607,237.965515,244.890548,1923994.750000,1941012.500000,1569292.125000,1586303.750000,354702.187500,354614.218750,0.000000,95.193901,0.350764,0.354148,
"[-2869.050396,-8655.002531,19.439487]",399,2821,3.030041,0.790058,353.508636,304.558387,1968384.875000,1982914.750000,1613682.750000,1628210.750000,354702.187500,354685.250000,0.000000,18.762310,0.370524,0.363755,
"[-2739.583320,-8817.329921,19.610397]",1048,3339,2.898448,1.467491,120.284477,83.274359,1260146.625000,1364506.500000,905444.250000,1009817.687500,354702.187500,354643.968750,0.000000,44.979973,0.628384,0.592576,
"[-3376.174545,-8972.931503,19.788761]",1670,792,1.489166,4.391887,77.370880,102.457201,2136869.000000,2044406.125000,1782166.625000,1689598.375000,354702.187500,354181.250000,0.000000,625.816772,0.240830,0.244105,
"[-2728.906315,-9172.822534,15.957144]",2470,3381,3.994894,3.895294,184.231995,174.310547,1646654.750000,1653179.375000,1291952.250000,1298505.875000,354702.187500,354292.468750,0.000000,381.383087,0.495087,0.494432,
"[-2833.359654,-8965.970291,19.541061]",1642,2964,1.433824,2.786727,6.370085,344.665495,1843247.500000,1838167.625000,1488545.375000,1483457.750000,354702.187500,354492.312500,0.000000,217.475235,0.401528,0.399454,
"[-2632.276064,-8939.235202,15.648810]",1536,3768,3.289873,3.673393,156.614929,256.594577,2000574.625000,2059355.875000,1645872.125000,1704606.625000,354702.187500,354337.656250,0.000000,411.856354,0.362227,0.358843,
"[-3031.958657,-9280.334585,14.255674]",2900,2169,1.642147,2.391966,169.971146,153.044038,1804013.875000,1793652.375000,1449311.750000,1438947.000000,354702.187500,354547.531250,0.000000,158.045471,0.461790,0.457314,
"[-3348.911250,-8647.032447,21.308427]",367,901,1.700236,2.815086,148.937119,214.000423,1651181.875000,1683180.375000,1296479.500000,1328492.500000,354702.187500,354487.968750,0.000000,200.382660,0.525328,0.525328,
"[-2674.346149,-9276.702648,13.140364]",2885,3600,3.211497,4.752833,216.735703,55.031441,1511282.750000,1439990.125000,1156580.875000,1085374.500000,354702.187500,354092.312500,0.000000,523.225464,0.568777,0.563646,
"[-3199.433184,-8846.957108,20.847082]",1166,1499,0.129323,2.451773,227.465759,307.703083,1881857.500000,1932655.000000,1527156.500000,1577940.250000,354702.187500,354539.687500,0.000000,175.122604,0.378057,0.368996,
"[-3051.063109,-9534.771924,10.382074]",3918,2093,1.333846,3.039602,78.133644,183.752127,1979044.375000,1980377.750000,1624341.750000,1625646.375000,354702.187500,354452.687500,0.000000,278.543671,0.264083,0.262009,
"[-3332.123507,-9125.943649,18.447744]",2282,968,2.871996,1.137560,187.068146,59.247684,1612564.500000,1623207.250000,1257861.500000,1268507.125000,354702.187500,354667.093750,0.000000,32.132065,0.550437,0.543013,
"[-3039.345264,-9446.731090,11.558005]",3566,2140,0.411026,4.476418,160.006485,138.033261,1815959.250000,1774723.875000,1461257.750000,1420010.250000,354702.187500,354161.000000,0.000000,552.090637,0.448799,0.447162,
"[-2811.132681,-9143.699783,17.258535]",2353,3052,1.173997,1.001474,148.973145,352.045919,1863628.250000,1917288.875000,1508926.125000,1562585.250000,354702.187500,354675.031250,0.000000,29.251232,0.454476,0.418450,
"[-3425.765539,-8799.304754,17.427187]",976,594,4.768848,3.187925,142.177979,42.032608,2130525.000000,2081460.125000,1775823.375000,1726704.125000,354702.187500,354427.750000,0.000000,328.103577,0.203493,0.232096,
"[-2822.481196,-9227.335213,14.406450]",2688,3007,3.646343,3.567710,164.652985,169.402870,1941071.375000,1928180.625000,1586369.250000,1573443.750000,354702.187500,354358.437500,0.000000,377.878082,0.387773,0.381114,
"[-2604.341260,-9456.348996,8.825541]",3604,3880,0.890593,1.148249,238.552765,292.167940,1719773.500000,1762854.250000,1365071.375000,1408152.250000,354702.187500,354666.375000,0.000000,35.220112,0.484498,0.467686,
"[-3086.350945,-9545.432331,10.693838]",3960,1952,0.705950,1.493615,298.861206,180.075471,1929492.500000,1924388.625000,1574790.500000,1569682.125000,354702.187500,354641.812500,0.000000,65.310081,0.297598,0.298035,
"[-3383.527577,-9034.842571,19.771396]",1918,763,0.512557,4.180093,260.501526,296.471353,2036910.500000,2087535.875000,1682208.500000,1732768.375000,354702.187500,354230.187500,0.000000,537.701660,0.303057,0.316485,
"[-2791.121691,-8681.468587,20.066064]",504,3132,1.553052,2.331396,329.640411,340.440880,1575333.875000,1634770.250000,1220631.500000,1280079.125000,354702.187500,354555.281250,0.000000,135.499420,0.570415,0.537336,
"[-2763.824821,-8960.522386,19.232814]",1621,3242,0.892091,4.254194,192.029816,238.987476,1443140.625000,1494595.750000,1088436.625000,1139977.000000,354702.187500,354213.531250,0.000000,405.726929,0.592249,0.581550,
"[-2968.299534,-9470.574081,10.103682]",3661,2424,1.554660,0.855641,185.317642,325.816400,1691980.000000,1717134.625000,1337277.500000,1362433.125000,354702.187500,354682.156250,0.000000,19.092058,0.522271,0.510590,
"[-3362.307869,-8807.812902,17.599224]",1010,848,0.493700,1.420220,57.400414,105.709938,2131112.750000,2100444.500000,1776411.000000,1745731.625000,354702.187500,354647.593750,0.000000,65.356087,0.236463,0.250000,
"[-3325.341258,-8966.205694,21.665563]",1643,996,0.354583,1.459273,68.967560,331.033408,1790481.500000,1816887.625000,1435779.875000,1462185.125000,354702.187500,354644.531250,0.000000,58.873329,0.407424,0.405240,
"[-3369.593750,-9043.989671,19.724781]",1955,819,1.244178,4.614098,338.019196,339.493647,2062335.125000,2084767.000000,1707633.000000,1729976.750000,354702.187500,354127.218750,0.000000,663.333252,0.286463,0.303821,
"[-2829.431322,-9478.678680,9.947933]",3693,2979,1.379444,1.496458,277.743103,312.256463,2145262.250000,2179689.750000,1790558.625000,1824975.875000,354702.187500,354641.656250,0.000000,73.604439,0.233624,0.215721,
"[-2806.029207,-9137.881959,27.950557]",2330,3073,0.225935,1.963284,189.086441,314.167778,2118799.500000,2150280.000000,1764096.625000,1795557.250000,354702.187500,354598.125000,0.000000,124.619843,0.255895,0.249345,
"[-3036.558498,-8873.053245,22.231134]",1271,2151,1.370946,2.808645,252.720337,114.426471,1929944.625000,1898379.875000,1575242.000000,1543658.250000,354702.187500,354489.156250,0.000000,232.293533,0.336135,0.335808,
"[-2870.561293,-8761.741113,21.162990]",826,2815,3.022128,2.735456,107.058899,262.807491,1941034.375000,1994792.750000,1586333.125000,1640070.500000,354702.187500,354500.000000,0.000000,222.032135,0.350655,0.346725,
"[-3161.694337,-9403.450511,12.904509]",3392,1650,2.128693,4.159862,179.247314,271.348535,1587723.500000,1634400.500000,1233020.750000,1279743.000000,354702.187500,354234.968750,0.000000,423.234650,0.566485,0.555459,
"[-2961.483710,-8749.769174,21.799856]",778,2451,1.518816,2.470480,316.670197,245.205961,1791164.500000,1882555.750000,1436461.875000,1527848.000000,354702.187500,354537.281250,0.000000,170.831833,0.481550,0.428930,
"[-3115.326590,-8922.185277,22.619629]",1467,1836,2.913752,2.186389,58.251907,297.398856,2128910.500000,2164609.500000,1774208.250000,1809882.625000,354702.187500,354572.843750,0.000000,155.065460,0.257424,0.259716,
"[-3005.601900,-9269.405146,14.627533]",2856,2275,1.289892,2.760860,269.096008,269.320938,1813684.125000,1845241.875000,1458982.125000,1490535.125000,354702.187500,354496.281250,0.000000,209.632568,0.456441,0.457860,
"[-3122.511744,-8929.718183,22.505025]",1497,1807,1.888389,2.011702,283.277344,86.674596,2113258.500000,2078700.875000,1758555.250000,1723977.375000,354702.187500,354592.843750,0.000000,130.450760,0.264301,0.264301,
"[-2856.896070,-8933.619152,19.856859]",1513,2869,3.638115,4.497926,77.600571,73.285708,1801533.250000,1755420.875000,1446830.250000,1400704.875000,354702.187500,354155.937500,0.000000,560.231445,0.477183,0.464520,
"[-3147.491906,-9464.083676,19.578327]",3635,1707,3.092651,4.602473,171.851593,183.515730,974656.000000,1025150.687500,619954.000000,670689.562500,354702.187500,354130.125000,0.000000,330.722076,0.698144,0.681004,
"[-2789.845823,-9163.339144,16.068370]",2432,3138,3.709511,4.454350,290.393677,303.813425,1938569.500000,1990307.750000,1583867.750000,1635554.750000,354702.187500,354166.375000,0.000000,587.042542,0.378712,0.377183,
"[-2759.359281,-9148.811398,17.319471]",2374,3260,0.400286,1.923673,264.100311,328.555704,2029438.625000,2040386.375000,1674736.625000,1685669.125000,354702.187500,354602.093750,0.000000,114.236984,0.322707,0.324017,
"[-3301.334786,-9038.239104,21.590164]",1932,1092,2.643641,4.511842,307.931244,3.163553,1658242.750000,1632428.500000,1303541.000000,1277760.250000,354702.187500,354152.500000,0.000000,515.809143,0.462227,0.464847,
"[-2610.082668,-9149.753011,14.159784]",2378,3857,0.557173,2.375540,53.160442,9.828551,1952594.125000,1951242.125000,1597892.000000,1596525.000000,354702.187500,354549.656250,0.000000,167.751297,0.343996,0.354148,
"[-2979.580898,-9283.193054,14.209661]",2911,2379,1.605157,3.469021,116.088921,160.809118,1531980.500000,1579628.125000,1177278.250000,1224959.750000,354702.187500,354377.093750,0.000000,290.533752,0.572489,0.536790,
"[-3072.450693,-9172.284470,15.712206]",2468,2007,4.471372,3.660936,186.160858,237.404000,1445166.000000,1487212.125000,1090463.125000,1132574.500000,354702.187500,354340.187500,0.000000,296.750824,0.582096,0.580240,
"[-3175.124531,-8730.062555,18.301862]",699,1596,2.743907,3.509804,32.401413,36.621887,1833948.000000,1785943.625000,1479245.500000,1431230.375000,354702.187500,354369.500000,0.000000,344.125519,0.417904,0.418668,
"[-3379.901424,-8793.587817,17.209743]",953,777,1.585186,2.395408,157.904907,195.233812,2099758.750000,2100431.250000,1745055.750000,1745701.625000,354702.187500,354547.000000,0.000000,182.785049,0.241157,0.270415,
"[-3092.629561,-9181.028021,15.738110]",2503,1926,3.610644,3.218355,213.773880,222.622437,1369130.500000,1413566.500000,1014428.687500,1058923.125000,354702.187500,354422.250000,0.000000,220.409073,0.596616,0.586354,
"[-2848.703651,-9064.436129,18.031496]",2036,2902,1.787992,2.722138,306.037018,329.170821,1601887.375000,1585907.500000,1247185.750000,1231227.000000,354702.187500,354501.968750,0.000000,179.413376,0.508079,0.515175,
"[-2897.791012,-8692.398026,20.358589]",548,2706,0.098721,2.173087,262.686188,86.787594,2001752.000000,1959123.125000,1647050.125000,1604404.875000,354702.187500,354574.562500,0.000000,144.006882,0.321179,0.318777,
"[-3050.089419,-8803.979191,21.349191]",995,2097,2.449413,3.449747,275.732208,132.722125,2107719.000000,2065825.625000,1753016.750000,1711063.375000,354702.187500,354380.750000,0.000000,383.386322,0.257096,0.253493,
"[-3210.311641,-9044.191445,20.377569]",1955,1456,2.069504,2.657988,279.509552,345.023023,1338827.625000,1436219.250000,984125.687500,1081557.000000,354702.187500,354511.187500,0.000000,151.175842,0.643559,0.621616,
