pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-2791.121691,-8681.468587,20.066064]",504,3132,1.553052,2.331396,329.640411,340.440880,1575333.875000,1636968.250000,1220631.500000,1282266.875000,354702.187500,354702.187500,0.000000,0.000000,0.570415,0.537336,
"[-2763.824821,-8960.522386,19.232814]",1621,3242,0.892091,4.254194,192.029816,238.987476,1443140.625000,1472563.750000,1088436.625000,1117860.250000,354702.187500,354702.187500,0.000000,0.000000,0.592249,0.581550,
"[-2968.299534,-9470.574081,10.103682]",3661,2424,1.554660,0.855641,185.317642,325.816400,1691980.000000,1712194.750000,1337277.500000,1357492.375000,354702.187500,354702.187500,0.000000,0.000000,0.522271,0.510590,
"[-3362.307869,-8807.812902,17.599224]",1010,848,0.493700,1.420220,57.400414,105.709938,2131112.750000,2127513.250000,1776411.000000,1772812.250000,354702.187500,354702.187500,0.000000,0.000000,0.236463,0.250000,
"[-3325.341258,-8966.205694,21.665563]",1643,996,0.354583,1.459273,68.967560,331.033408,1790481.500000,1815283.250000,1435779.875000,1460580.625000,354702.187500,354702.187500,0.000000,0.000000,0.407424,0.405240,
"[-3369.593750,-9043.989671,19.724781]",1955,819,1.244178,4.614098,338.019196,339.493647,2062335.125000,2046765.500000,1707633.000000,1692063.375000,354702.187500,354702.187500,0.000000,0.000000,0.286463,0.303821,
"[-2829.431322,-9478.678680,9.947933]",3693,2979,1.379444,1.496458,277.743103,312.256463,2145262.250000,2158115.750000,1790558.625000,1803412.875000,354702.187500,354702.187500,0.000000,0.000000,0.233624,0.215721,
"[-2806.029207,-9137.881959,27.950557]",2330,3073,0.225935,1.963284,189.086441,314.167778,2118799.500000,2122945.000000,1764096.625000,1768242.375000,354702.187500,354702.187500,0.000000,0.000000,0.255895,0.249345,
"[-3036.558498,-8873.053245,22.231134]",1271,2151,1.370946,2.808645,252.720337,114.426471,1929944.625000,1933774.250000,1575242.000000,1579071.375000,354702.187500,354702.187500,0.000000,0.000000,0.336135,0.335808,
"[-2870.561293,-8761.741113,21.162990]",826,2815,3.022128,2.735456,107.058899,262.807491,1941034.375000,1948560.625000,1586333.125000,1593858.750000,354702.187500,354702.187500,0.000000,0.000000,0.350655,0.346725,
"[-3161.694337,-9403.450511,12.904509]",3392,1650,2.128693,4.159862,179.247314,271.348535,1587723.500000,1606532.625000,1233020.750000,1251830.000000,354702.187500,354702.187500,0.000000,0.000000,0.566485,0.555459,
"[-2961.483710,-8749.769174,21.799856]",778,2451,1.518816,2.470480,316.670197,245.205961,1791164.500000,1838014.000000,1436461.875000,1483310.750000,354702.187500,354702.187500,0.000000,0.000000,0.481550,0.428930,
"[-3115.326590,-8922.185277,22.619629]",1467,1836,2.913752,2.186389,58.251907,297.398856,2128910.500000,2130041.000000,1774208.250000,1775338.250000,354702.187500,354702.187500,0.000000,0.000000,0.257424,0.259716,
"[-3005.601900,-9269.405146,14.627533]",2856,2275,1.289892,2.760860,269.096008,269.320938,1813684.125000,1806047.875000,1458982.125000,1451344.875000,354702.187500,354702.187500,0.000000,0.000000,0.456441,0.457860,
"[-3122.511744,-8929.718183,22.505025]",1497,1807,1.888389,2.011702,283.277344,86.674596,2113258.500000,2116604.000000,1758555.250000,1761900.500000,354702.187500,354702.187500,0.000000,0.000000,0.264301,0.264301,
"[-2856.896070,-8933.619152,19.856859]",1513,2869,3.638115,4.497926,77.600571,73.285708,1801533.250000,1819036.500000,1446830.250000,1464334.125000,354702.187500,354702.187500,0.000000,0.000000,0.477183,0.464520,
"[-3147.491906,-9464.083676,19.578327]",3635,1707,3.092651,4.602473,171.851593,183.515730,974656.000000,1025877.812500,619954.000000,671175.437500,354702.187500,354702.187500,0.000000,0.000000,0.698144,0.681004,
"[-2789.845823,-9163.339144,16.068370]",2432,3138,3.709511,4.454350,290.393677,303.813425,1938569.500000,1943545.000000,1583867.750000,1588843.625000,354702.187500,354702.187500,0.000000,0.000000,0.378712,0.377183,
"[-2759.359281,-9148.811398,17.319471]",2374,3260,0.400286,1.923673,264.100311,328.555704,2029438.625000,2027030.750000,1674736.625000,1672328.875000,354702.187500,354702.187500,0.000000,0.000000,0.322707,0.324017,
"[-3301.334786,-9038.239104,21.590164]",1932,1092,2.643641,4.511842,307.931244,3.163553,1658242.750000,1664489.000000,1303541.000000,1309787.125000,354702.187500,354702.187500,0.000000,0.000000,0.462227,0.464847,
"[-2610.082668,-9149.753011,14.159784]",2378,3857,0.557173,2.375540,53.160442,9.828551,1952594.125000,1951994.625000,1597892.000000,1597292.375000,354702.187500,354702.187500,0.000000,0.000000,0.343996,0.354148,
"[-2979.580898,-9283.193054,14.209661]",2911,2379,1.605157,3.469021,116.088921,160.809118,1531980.500000,1585589.250000,1177278.250000,1230886.750000,354702.187500,354702.187500,0.000000,0.000000,0.572489,0.536790,
"[-3072.450693,-9172.284470,15.712206]",2468,2007,4.471372,3.660936,186.160858,237.404000,1445166.000000,1454223.000000,1090463.125000,1099520.125000,354702.187500,354702.187500,0.000000,0.000000,0.582096,0.580240,
"[-3175.124531,-8730.062555,18.301862]",699,1596,2.743907,3.509804,32.401413,36.621887,1833948.000000,1834689.375000,1479245.500000,1479986.875000,354702.187500,354702.187500,0.000000,0.000000,0.417904,0.418668,
"[-3379.901424,-8793.587817,17.209743]",953,777,1.585186,2.395408,157.904907,195.233812,2099758.750000,2091798.875000,1745055.750000,1737096.750000,354702.187500,354702.187500,0.000000,0.000000,0.241157,0.270415,
"[-3092.629561,-9181.028021,15.738110]",2503,1926,3.610644,3.218355,213.773880,222.622437,1369130.500000,1397497.500000,1014428.687500,1042794.937500,354702.187500,354702.187500,0.000000,0.000000,0.596616,0.586354,
"[-2848.703651,-9064.436129,18.031496]",2036,2902,1.787992,2.722138,306.037018,329.170821,1601887.375000,1589979.250000,1247185.750000,1235277.625000,354702.187500,354702.187500,0.000000,0.000000,0.508079,0.515175,
"[-2897.791012,-8692.398026,20.358589]",548,2706,0.098721,2.173087,262.686188,86.787594,2001752.000000,2002424.750000,1647050.125000,1647723.875000,354702.187500,354702.187500,0.000000,0.000000,0.321179,0.318777,
"[-3050.089419,-8803.979191,21.349191]",995,2097,2.449413,3.449747,275.732208,132.722125,2107719.000000,2115768.750000,1753016.750000,1761067.250000,354702.187500,354702.187500,0.000000,0.000000,0.257096,0.253493,
"[-3210.311641,-9044.191445,20.377569]",1955,1456,2.069504,2.657988,279.509552,345.023023,1338827.625000,1405172.250000,984125.687500,1050470.625000,354702.187500,354702.187500,0.000000,0.000000,0.643559,0.621616,
"[-3280.954465,-9004.946352,21.661836]",1798,1173,0.489573,0.930347,295.412476,254.060679,1999511.750000,2002798.375000,1644809.500000,1648096.000000,354702.187500,354702.187500,0.000000,0.000000,0.301201,0.303384,
"[-2992.708913,-9195.522138,17.393711]",2561,2326,4.152253,2.658734,262.323975,11.490353,1192552.875000,1230308.875000,837850.937500,875606.937500,354702.187500,354702.187500,0.000000,0.000000,0.689520,0.675873,
"[-2722.493397,-8763.388936,96.474901]",832,3407,1.352076,1.261052,346.408447,92.206373,2201643.500000,2201215.000000,1846941.500000,1846512.625000,354702.187500,354702.187500,0.000000,0.000000,0.035480,0.056004,
"[-3430.264654,-9098.132430,69.971407]",2171,576,3.464359,2.904897,259.760712,270.694383,2116225.000000,2137300.500000,1761524.625000,1782599.250000,354702.187500,354702.187500,0.000000,0.000000,0.176965,0.158952,
"[-3416.465129,-9426.183744,14.062750]",3483,631,3.399472,2.418997,242.407684,171.315564,1852555.125000,1839165.625000,1497853.250000,1484464.125000,354702.187500,354702.187500,0.000000,0.000000,0.451528,0.458188,
"[-2911.758415,-8817.094518,22.197202]",1047,2650,1.200038,3.462519,324.427155,201.002074,1956691.250000,1965639.625000,1601989.125000,1610937.875000,354702.187500,354702.187500,0.000000,0.000000,0.371834,0.364847,
"[-3080.575961,-9099.141301,18.351820]",2175,1975,1.283528,3.236065,271.824493,309.176514,1878415.125000,1877921.250000,1523714.375000,1523220.250000,354702.187500,354702.187500,0.000000,0.000000,0.384607,0.382751,
"[-3075.707516,-9498.318042,10.943842]",3772,1994,1.775414,0.520162,275.261475,324.999029,2008992.000000,2021383.375000,1654289.125000,1666680.875000,354702.187500,354702.187500,0.000000,0.000000,0.301965,0.293996,
